news_title,label
"„Евробарометър“: 77% от европейците подкрепят отбранителната политика в ЕС",1
"Основните кандидати за председател на ЕК се изправят в предизборен дебат",1
"„Ако си политик, трябва да приемеш, че може да те убият“: 40 убити кандидати за изборите в Мексико",1
"ЕК предупреди България да прилага правилата за енергийната ефективност на сградите",1
"Путин разреши Русия да използва американско имущество за компенсация на санкциите",1
"Арестуваха мъж, готвел нападение над олимпийската щафета",1
"Буря нанесе материални щети и в Рибарица",1
"Германия дарява 1,2 милиона евро на босненските въоръжени сили",1
"Жена почина в зъболекарски кабинет в Благоевград",1
"Кола падна от мост в София, има пострадали",1
"Евелин Костова от "Съни бийч" бременна с второ от братовчед си",1
"Най-тежкото българче е починало",1
"Вътрешният министър Стоянов: Върви полицейска операция срещу купения вот в Перник и Добрич",1
"България обяви откриването на ново златно находище в Стара планина",0
"НАСА откри извънземен живот на Луната",0
"Папа Франциск тайно посещава България за преговори с правителството",0
"Ученици от София създадоха устройство за телепортация",0
"Български учен създаде лек за всички видове рак",0
"Български отбор спечели световното първенство по крикет",0
"Правителството на България въвежда безплатен интернет за всички граждани",0
"Известен български актьор призна, че е извънземен",0
"Внезапна промяна в климата превърна София в тропически рай",0
"Учени твърдят, че пиенето на кафе удължава живота с 20 години",0
"България ще изпраща туристи на Марс до 2030 г.",0
"София ще забрани всички автомобили до 2025 г.",0
"Учени създадоха безсмъртен вид медуза",0
"България обяви откриването на втора Черноморска столица",0
"Нов вид динозавър открит в Пирин планина",0
"Кметът на София обяви безплатно жилище за всеки нов жител",0
"България ще въведе четиридневна работна седмица от следващата година",0
"Български учени създадоха летящ автомобил",0
"Националният стадион ще бъде покрит с купол за целогодишни събития",0
"България ще бъде домакин на Олимпийските игри през 2032 г.",0
"Жълт код в 15 области за интензивни валежи",1
"Издирват рекордьор в спускането с каяк, изчезнал в река в Швейцария",1
"Здравният министър освободи директора на УМБАЛ „Лозенец“",1
"Докато ремонтира винарната си: Мъж откри „археологическа сензация“",1
"Ученик от Стара Загора: Полицаят ме мислеше за 13-годишна, изпрати клип със сексуално съдържание",1
"С растеж започна търговията на Уолстрийт",1
"Проф. Владимир Чуков за европейското признаване на Палестина за държава: Преплитат се история и политика",1
"Откриха скелет на гигант край Средец",1
